Rank,,Location,Remodeling Gross Sales 2024,Remodeling Jobs,Gross Revenue 2024,Remodeling Segment Focus,No. of Employees,Qualified Remodeler Link
1,BELFOR Holdings Inc.,"Birmingham, Michigan","$2,489,050,000","318,882","$2,677,470,000",Insurance Restoration,4989,https://www.qualifiedremodeler.com/firm/belfor-holdings-inc/?y=2025
2,Leaf Home,"Hudson, Ohio","$1,767,816,000","345,680","$1,767,816,000",Replacement | Home Improvement,4025,https://www.qualifiedremodeler.com/firm/leaf-home/?y=2025
3,Great Day Improvements LLC,"Twinsburg, Ohio","$1,636,850,640","89,065","$1,636,850,640",Replacement | Home Improvement,4600,https://www.qualifiedremodeler.com/firm/great-day-improvements-llc/?y=2025
4,Power Home Remodeling,"Chester, Pennsylvania","$1,453,882,796","81,595","$1,453,882,796",Full-Service,4087,https://www.qualifiedremodeler.com/firm/power-home-remodeling/?y=2025
5,West Shore Home,"Mechanicsburg, Pennsylvania","$1,222,300,668","76,288","$1,222,300,668",Replacement | Home Improvement,3127,https://www.qualifiedremodeler.com/firm/west-shore-home/?y=2025
6,Groundworks,"Virginia Beach, Virginia","$1,154,774,262","120,344","$1,196,669,149",Replacement | Home Improvement,5506,https://www.qualifiedremodeler.com/firm/groundworks/?y=2025
7,Window World,"North Wilkesboro, North Carolina","$1,149,703,491","155,887","$1,149,703,491",Replacement | Home Improvement,—,https://www.qualifiedremodeler.com/firm/window-world-inc/?y=2025
8,Erie Home,"Toledo, Ohio","$609,124,170","25,000","$609,124,170",Replacement | Home Improvement,1583,https://www.qualifiedremodeler.com/firm/erie-home/?y=2025
9,Infinity Home Services,"Brookfield, Wisconsin","$500,019,000","44,066","$500,019,000",Replacement | Home Improvement,1021,https://www.qualifiedremodeler.com/firm/infinity-home-services/?y=2025
10,Re-Bath,"Phoenix, Arizona","$494,074,272","27,794","$494,074,272",Kitchen & Bath Design Remodeling,129,https://www.qualifiedremodeler.com/firm/re-bath-llc/?y=2025
11,Mad City Windows & Baths,"Madison, Wisconsin","$478,103,862","30,142","$478,103,862",not disclosed by company,1138,https://www.qualifiedremodeler.com/firm/mad-city-windows-baths/?y=2025
12,Window Nation,"Fulton, Maryland","$455,153,807","32,383","$455,153,807",Replacement | Home Improvement,922,https://www.qualifiedremodeler.com/firm/window-nation/?y=2025
13,Renovo Home Partners,"Dallas, Texas","$449,183,000","22,663","$449,183,000",Replacement | Home Improvement,1671,https://www.qualifiedremodeler.com/firm/renovo-home-partners/?y=2025
14,Stronghouse Solutions,"Oak Brook, Illinois","$352,202,000","12,807","$352,202,000",Insurance Restoration,265,https://www.qualifiedremodeler.com/firm/stronghouse-solutions/?y=2025
15,ATI Restoration,"Anaheim, California","$327,417,176","12,129","$648,572,255",Insurance Restoration,2102,https://www.qualifiedremodeler.com/firm/ati-restoration-llc/?y=2025
16,Omnia Exterior Solutions,"Trophy Club, Texas","$312,205,637","15,542","$312,223,596",Replacement | Home Improvement,750,https://www.qualifiedremodeler.com/firm/omnia-exterior-solutions/?y=2025
17,RAFTRx,"Duluth, Georgia","$221,583,220","8,112","$221,583,220",Insurance Restoration,85,https://www.qualifiedremodeler.com/firm/raftrx/?y=2025
18,FHIA Remodeling,"Fort Lauderdale, Florida","$214,235,999","10,303","$214,235,999",not disclosed by company,502,https://www.qualifiedremodeler.com/firm/fhia-holdings-llc/?y=2025
19,Statewide Remodeling,"Grapevine, Texas","$208,285,525","12,453","$208,285,525",not disclosed by company,12453,https://www.qualifiedremodeler.com/firm/statewide-remodeling/?y=2025
20,Florida Window and Door,"Lake Worth, Florida","$180,100,460","5,640","$180,100,460",Replacement | Home Improvement,350,https://www.qualifiedremodeler.com/firm/florida-window-and-door/?y=2025
21,Home Genius Exteriors,"Hyattsville, Maryland","$168,673,629","9,638","$168,673,629",Replacement | Home Improvement,295,https://www.qualifiedremodeler.com/firm/home-genius-exteriors/?y=2025
22,Window Depot USA,"Columbiana, Ohio","$166,813,263","18,535","$166,813,263",Replacement | Home Improvement,392,https://www.qualifiedremodeler.com/firm/window-depot-usa/?y=2025
23,HorsePower Brands,"Omaha, Nebraska","$162,093,494","16,770","$227,643,775",Replacement | Home Improvement,150,https://www.qualifiedremodeler.com/firm/horsepower-brands/?y=2025
24,TSR Concrete Coatings LLC dba Revamp Companies,"Freeport, Illinois","$160,068,015","23,946","$160,068,015",Replacement | Home Improvement,750,https://www.qualifiedremodeler.com/firm/tsr-concrete-coatings-llc-dba-revamp-companies/?y=2025
25,1-800-Hansons LLC,"Troy, Michigan","$155,566,629","13,043","$155,566,629",Replacement | Home Improvement,200,https://www.qualifiedremodeler.com/firm/1-800-hansons-llc/?y=2025
26,P.J. Fitzpatrick LLC,"New Castle, Delaware","$149,830,723","9,723","$149,830,723",Replacement | Home Improvement,577,https://www.qualifiedremodeler.com/firm/pj-fitzpatrick-llc/?y=2025
27,SageHome LLC,"Indianapolis, Indiana","$143,722,342","8,212","$143,722,342",Kitchen & Bath Design Remodeling,289,https://www.qualifiedremodeler.com/firm/sagehome-llc/?y=2025
28,Window World of Baton Rouge LLC,"Baton Rouge, Louisiana","$124,290,670","14,889","$124,290,670",Replacement | Home Improvement,197,https://www.qualifiedremodeler.com/firm/window-world-of-baton-rouge-llc/?y=2025
29,SilverLining Inc.,"New York, New York","$122,292,013",65,"$122,292,013",Full-Service,267,https://www.qualifiedremodeler.com/firm/silverlining-inc/?y=2025
30,Thompson Creek Window Company,"Lanham, Maryland","$118,858,365","8,177","$118,858,365",Replacement | Home Improvement,299,https://www.qualifiedremodeler.com/firm/thompson-creek-window-company/?y=2025
31,WindowRama,"Edgewood, New York","$111,505,000","1,478","$111,505,000",Replacement | Home Improvement,185,https://www.qualifiedremodeler.com/firm/windowrama/?y=2025
32,Express Flooring,"Phoenix, Arizona","$103,736,329","12,204","$103,736,329",Replacement | Home Improvement,100,https://www.qualifiedremodeler.com/firm/express-flooring/?y=2025
33,Windows USA LLC,"Royal, Arkansas","$100,762,227","7,649","$100,762,227",Replacement | Home Improvement,263,https://www.qualifiedremodeler.com/firm/windows-usa-llc/?y=2025
34,Refloor LLC,"Troy, Michigan","$95,422,602","11,451","$95,422,602",Replacement | Home Improvement,352,https://www.qualifiedremodeler.com/firm/refloor/?y=2025
35,Comfort Windows Co Inc.,"Syracuse, New York","$93,799,218","7,586","$94,999,700",Replacement | Home Improvement,405,https://www.qualifiedremodeler.com/firm/comfort-window-co-inc-comfort-windows-doors/?y=2025
36,Archadeck Outdoor Living,"Glen Allen, Virginia","$93,006,701","2,066","$90,651,965",Replacement | Home Improvement,220,https://www.qualifiedremodeler.com/firm/archadeck-outdoor-living/?y=2025
37,RF Installations LLC,"Grand Prairie, Texas","$91,484,109","196,391","$91,484,109",Replacement | Home Improvement,108,https://www.qualifiedremodeler.com/firm/rf-installations-llc/?y=2025
38,Lifetime Home Remodeling,"Denver, Colorado","$90,390,897","3,302","$90,426,960",Replacement | Home Improvement,277,https://www.qualifiedremodeler.com/firm/lifetime-windows-and-siding/?y=2025
39,Premier Home Pros,"Akron, Ohio","$85,808,406","5,258","$85,808,406",Replacement | Home Improvement,110,https://www.qualifiedremodeler.com/firm/premier-home-pros/?y=2025
40,Performance Windows,"Pleasant Grove, Utah","$82,229,041","3,407","$82,229,041",Replacement | Home Improvement,195,https://www.qualifiedremodeler.com/firm/performance-windows/?y=2025
41,Reece Windows & Doors,"St.Petersburg, Florida","$82,127,961","3,592","$82,127,961",Replacement | Home Improvement,150,https://www.qualifiedremodeler.com/firm/reece-windows-and-doors/?y=2025
42,Victory Home Remodeling,"Holmdel, New Jersey","$80,592,000","3,400","$80,592,000",Replacement | Home Improvement,257,https://www.qualifiedremodeler.com/firm/victory-home-remodeling/?y=2025
43,Matrix Home Solutions,"Arlington Heights, Illinois","$80,000,091","1,601","$80,000,091",Design-Build,190,https://www.qualifiedremodeler.com/firm/matrix-home-solutions/?y=2025
44,Ecoview America LLC,"Bay Minette, Alabama","$78,872,380","10,955","$78,872,380",Replacement | Home Improvement,384,https://www.qualifiedremodeler.com/firm/ecoview-america-llc/?y=2025
45,ABC Seamless Corporate,"Lincoln, Nebraska","$77,154,906","7,564","$79,791,617",Replacement | Home Improvement,2500,https://www.qualifiedremodeler.com/firm/abc-seamless-corporate/?y=2025
46,Weatherguard Roofing LLC,"Charlotte, North Carolina","$76,970,961","3,188","$76,970,961",Insurance Restoration,335,https://www.qualifiedremodeler.com/firm/weatherguard-roofing/?y=2025
47,"Window World of Huntsville / Shoals, Window World of North Atlanta, Window World of Central Alabama","Kennesaw, Georgia","$71,090,982","8,832","$71,090,982",Replacement | Home Improvement,118,https://www.qualifiedremodeler.com/firm/window-world-of-huntsville-shoals-window-world-of-north-atlanta-window-world-of-central-alabama/?y=2025
48,Homefix,"Laurel, Maryland","$68,976,887","2,264","$68,976,887",Replacement | Home Improvement,325,https://www.qualifiedremodeler.com/firm/homefix-custom-remodeling/?y=2025
49,Capital Construction,"Canton, Massachusetts","$67,287,935","2,591","$67,287,935",Replacement | Home Improvement,131,https://www.qualifiedremodeler.com/firm/capital-construction/?y=2025
