county,subdivision,home_count,avg_year_built,min_year_built,max_year_built,avg_sqft,avg_floors,avg_value,avg_acres,cities,sample_addresses
Utah,6386,475,2010.0,2000,2020,17920.6,1.1,6223182.3,4.7,"American Fork, Eagle Mountain, Highland, Lehi, Lindon, Mapleton, Orem, Payson, Pleasant Grove, Provo, Santaquin, Saratoga Springs, Spanish Fork, Springville",2400 N 1200 W; 2400 N 1200 W; 2400 N 1200 W
Salt Lake,Kennecott Daybreak Pl 7,403,2009.1,2007,2018,1959.0,1.8,594192.3,0.1,South Jordan,4349 W SOUTH JORDAN PKWY; 4339 W SOUTH JORDAN PKWY; 4329 W SOUTH JORDAN PKWY
Utah,3344,390,2008.4,2000,2020,2543.2,1.5,606599.7,0.1,"Alpine, American Fork, Lehi, Lindon, Mapleton, Orem, Payson, Pleasant Grove, Provo, Salem, Saratoga Springs, Spanish Fork, Springville",7944 N 9550 W; 79 W 900 N UNIT 1; 333 S MAIN UNIT 100
Utah,6453,368,2010.5,2000,2020,3859.0,1.0,705679.9,0.1,"American Fork, Eagle Mountain, Lehi, Lindon, Mapleton, Orem, Payson, Pleasant Grove, Provo, Spanish Fork, Springville, Vineyard",5132 N 300 W UNIT 5; 5132 N 300 W UNIT 5; 1112 E 1060 N
Salt Lake,Kennecott Daybreak Pl 5,327,2007.7,2006,2018,2140.9,1.7,655748.0,0.1,South Jordan,10942 S TOPVIEW RD; 10938 S TOPVIEW RD; 10953 S CORALVILLE WAY
Salt Lake,Kennecott Daybreak Pl 9,307,2011.2,2008,2018,1815.1,1.8,591426.1,0.1,South Jordan,10328 S CROW WING DR; 10336 S CROW WING DR; 10346 S CROW WING DR
Salt Lake,Kennecott Daybreak Ph 1 Amd,267,2004.7,2004,2011,2041.4,1.6,638550.6,0.2,South Jordan,4338 W OPEN CREST DR; 4324 W OPEN CREST DR; 4316 W OPEN CREST DR
Utah,Eagle Crest No 1 At Suncrest,255,2005.7,2003,2018,2152.8,1.7,730256.1,0.2,Draper,15119 S EAGLE CHASE DR; 15111 S EAGLE CHASE DR; 15107 S EAGLE CHASE DR
Salt Lake,Daybreak Village 8 Plat 3,252,2018.6,2018,2020,1677.1,2.1,512067.1,0.1,South Jordan,6238 W BIRCH RUN RD; 6242 W BIRCH RUN RD; 6244 W BIRCH RUN RD
Salt Lake,Kennecott Daybreak Ph 2 Pl 3,248,2005.9,2005,2006,1780.5,1.6,558955.6,0.1,South Jordan,11709 S GRANDVILLE AVE; 4949 W FIRMONT DR; 4931 W FIRMONT DR
Salt Lake,Westgate Aclaime At Independence,246,2016.7,2016,2019,1817.8,2.0,506106.9,0.1,Bluffdale,1011 W COYOTE GULCH WAY; 14804 S CHIMNEY PASS DR; 14812 S CHIMNEY PASS DR
Salt Lake,Kennecott Daybreak Pl 8,242,2011.0,2008,2018,2126.9,1.8,662748.3,0.1,South Jordan,10369 S LAC VIEUX RD; 10377 S LAC VIEUX RD; 10381 S LAC VIEUX RD
Salt Lake,Kennecott Daybreak Pl 6,237,2008.6,2007,2020,2199.8,1.7,708124.1,0.2,South Jordan,10794 S TAHOE WAY; 10788 S TAHOE WAY; 10782 S TAHOE WAY
Salt Lake,Heights On Quarry Bend Pud,228,2007.0,2007,2008,1618.2,2.0,495714.5,0.0,Sandy,1001 E QUARRY VIEW WAY; 1003 E QUARRY VIEW WAY; 1005 E QUARRY VIEW WAY
Salt Lake,Boulders At Rosecrest Pud,222,2006.0,2006,2006,1074.2,1.8,325562.6,0.0,Herriman,5128 W ROCK BUTTE RD; 5126 W ROCK BUTTE RD; 5122 W ROCK BUTTE RD
