county,subdivision,home_count,avg_year_built,min_year_built,max_year_built,avg_sqft,avg_floors,avg_value,avg_acres,cities,sample_addresses,elevation_range_m,avg_elevation_m,slope_score
Utah,Eagle Crest No 1 At Suncrest,255,2005.7,2003,2018,2152.8,1.7,730256.1,0.2,Draper,15119 S EAGLE CHASE DR; 15111 S EAGLE CHASE DR; 15107 S EAGLE CHASE DR,47.5,1855.7,379.4
Utah,3344,390,2008.4,2000,2020,2543.2,1.5,606599.7,0.1,"Alpine, American Fork, Lehi, Lindon, Mapleton, Orem, Payson, Pleasant Grove, Provo, Salem, Saratoga Springs, Spanish Fork, Springville",7944 N 9550 W; 79 W 900 N UNIT 1; 333 S MAIN UNIT 100,37.3,1397.0,321.3
Salt Lake,Parry Farms Ph 2,124,2011.2,2007,2020,2847.2,1.5,933221.9,0.4,Bluffdale,15036 S DESERT EAGLE CIR; 15056 S DESERT EAGLE CIR; 15088 S DESERT EAGLE CIR,29.8,1364.3,207.1
Utah,6453,368,2010.5,2000,2020,3859.0,1.0,705679.9,0.1,"American Fork, Eagle Mountain, Lehi, Lindon, Mapleton, Orem, Payson, Pleasant Grove, Provo, Spanish Fork, Springville, Vineyard",5132 N 300 W UNIT 5; 5132 N 300 W UNIT 5; 1112 E 1060 N,22.2,1395.6,189.0
Utah,Oak Vista #04 At Suncrest,121,2002.9,2001,2018,2325.5,1.7,772924.8,0.2,Draper,15156 S AMBER CREST LN; 15142 S AMBER CREST LN; 1593 E AMBER CREST LN,27.1,1906.1,187.6
Salt Lake,South Mtn Ph 3d,116,2001.8,2000,2008,2243.5,1.6,773738.8,0.2,Draper,13944 S STONE CANYON DR; 13973 S TIMBER RIDGE DR; 13967 S TIMBER RIDGE DR,24.4,1472.3,167.1
Utah,Lake Mountain Estates Plat I,120,2002.2,2000,2019,1240.4,1.3,469556.7,0.3,Saratoga Springs,361 W CASI WAY; 357 W CASI WAY; 4077 S LAKE MOUNTAIN DR,22.7,1434.3,156.5
Salt Lake,Kennecott Daybreak Pl 8,242,2011.0,2008,2018,2126.9,1.8,662748.3,0.1,South Jordan,10369 S LAC VIEUX RD; 10377 S LAC VIEUX RD; 10381 S LAC VIEUX RD,19.6,1450.8,155.4
Salt Lake,Kennecott Daybreak Ph 1 Amd,267,2004.7,2004,2011,2041.4,1.6,638550.6,0.2,South Jordan,4338 W OPEN CREST DR; 4324 W OPEN CREST DR; 4316 W OPEN CREST DR,18.6,1454.9,149.7
Salt Lake,Rosecrest Pl R,117,2009.2,2006,2019,2679.1,1.6,854814.5,0.3,Herriman,5384 W ROSE SUMMIT DR; 14794 S BRIAR PARK RD; 14784 S BRIAR PARK RD,20.8,1582.4,143.0
